"zip","city","county","state","pop"
"95824","Sacramento","Sacramento","CA",30296
"94608","Emeryville","Alameda","CA",30289
"95682","Shingle Springs","El Dorado","CA",30141
"91731","El Monte","Los Angeles","CA",30139
"93420","Arroyo Grande","San Luis Obispo","CA",30136
"94903","San Rafael","Marin","CA",30048
"92653","Laguna Hills","Orange","CA",29986
"91316","Encino","Los Angeles","CA",29964
"94801","Richmond","Contra Costa","CA",29958
"94580","San Lorenzo","Alameda","CA",29942
"94602","Oakland","Alameda","CA",29933
"95492","Windsor","Sonoma","CA",29920
"92110","San Diego","San Diego","CA",29911
"94131","San Francisco","San Francisco","CA",29902
"91792","West Covina","Los Angeles","CA",29839
"94107","San Francisco","San Francisco","CA",29689
"95219","Stockton","San Joaquin","CA",29668
"94549","Lafayette","Contra Costa","CA",29639
"91324","Northridge","Los Angeles","CA",29617
"94585","Suisun City","Solano","CA",29599
"95117","San Jose","Santa Clara","CA",29592
"90039","Los Angeles","Los Angeles","CA",29589
"90041","Los Angeles","Los Angeles","CA",29516
"93035","Oxnard","Ventura","CA",29404
"95966","Oroville","Butte","CA",29367
"96150","South Lake Tahoe","El Dorado","CA",29357
"93704","Fresno","Fresno","CA",29294
"95603","Auburn","Placer","CA",29244
"94704","Berkeley","Alameda","CA",29190
"92120","San Diego","San Diego","CA",29142
"92694","Ladera Ranch","Orange","CA",29064
"90713","Lakewood","Los Angeles","CA",29061
"91384","Castaic","Los Angeles","CA",28842
"92604","Irvine","Orange","CA",28819
"92316","Bloomington","San Bernardino","CA",28783
"94103","San Francisco","San Francisco","CA",28735
"95133","San Jose","Santa Clara","CA",28726
"92262","Palm Springs","Riverside","CA",28517
"96080","Red Bluff","Tehama","CA",28487
"94518","Concord","Contra Costa","CA",28428
"91103","Pasadena","Los Angeles","CA",28425
"95204","Stockton","San Joaquin","CA",28425
"93401","San Luis Obispo","San Luis Obispo","CA",28423
"94510","Benicia","Solano","CA",28262
"95834","Sacramento","Sacramento","CA",28229
"90710","Harbor City","Los Angeles","CA",28185
"95829","Sacramento","Sacramento","CA",28134
